date,openingPrice,closingPrice
2021-01-04,530.00,536.00
2021-01-05,536.00,542.00
2021-01-06,555.00,549.00
2021-01-07,554.00,565.00
2021-01-08,580.00,580.00
2021-01-11,577.00,584.00
2021-01-12,583.00,591.00
2021-01-13,595.00,605.00
2021-01-14,587.00,592.00
2021-01-15,621.00,601.00
2021-01-18,608.00,607.00
2021-01-19,618.00,627.00
2021-01-20,633.00,647.00
2021-01-21,640.00,673.00
2021-01-22,649.00,649.00
2021-01-25,642.00,633.00
2021-01-26,632.00,617.00
2021-01-27,618.00,615.00
2021-01-28,600.00,601.00
2021-01-29,619.00,591.00
2021-02-01,595.00,611.00
2021-02-02,629.00,632.00
2021-02-03,638.00,630.00
2021-02-04,626.00,627.00
2021-02-05,638.00,632.00
2021-02-17,663.00,663.00
2021-02-18,664.00,660.00
2021-02-19,656.00,652.00
2021-02-22,660.00,650.00
2021-02-23,641.00,641.00
2021-02-24,627.00,625.00
2021-02-25,636.00,635.00
2021-02-26,611.00,606.00
2021-03-02,621.00,609.00
2021-03-03,609.00,622.00
2021-03-04,609.00,601.00
2021-03-05,588.00,601.00
2021-03-08,608.00,598.00
2021-03-09,585.00,595.00
2021-03-10,601.00,597.00
2021-03-11,596.00,609.00
2021-03-12,615.00,614.00
2021-03-15,614.00,611.00
2021-03-16,610.00,613.00
2021-03-17,612.00,604.00
2021-03-18,606.00,602.00
2021-03-19,594.00,591.00
2021-03-22,588.00,593.00
2021-03-23,597.00,594.00
2021-03-24,571.00,576.00
2021-03-25,572.00,575.00
2021-03-26,582.00,590.00
2021-03-29,599.00,599.00
2021-03-30,600.00,597.00
2021-03-31,596.00,587.00
2021-04-01,598.00,602.00
2021-04-06,615.00,610.00
2021-04-07,614.00,610.00
2021-04-08,606.00,613.00
2021-04-09,618.00,610.00
2021-04-12,612.00,605.00
2021-04-13,604.00,605.00
2021-04-14,608.00,612.00
2021-04-15,612.00,619.00
2021-04-16,610.00,610.00
2021-04-19,605.00,603.00
2021-04-20,598.00,602.00
2021-04-21,599.00,592.00
2021-04-22,596.00,591.00
2021-04-23,592.00,602.00
2021-04-26,605.00,610.00
2021-04-27,608.00,610.00
2021-04-28,606.00,602.00
2021-04-29,609.00,600.00
2021-05-03,595.00,588.00
2021-05-04,588.00,591.00
2021-05-05,594.00,585.00
2021-05-06,590.00,587.00
2021-05-07,594.00,599.00
2021-05-10,596.00,589.00
2021-05-11,579.00,571.00
2021-05-12,567.00,560.00
2021-05-13,547.00,547.00
2021-05-14,556.00,557.00
2021-05-17,544.00,549.00
2021-05-18,563.00,572.00
2021-05-19,571.00,567.00
2021-05-20,567.00,567.00
2021-05-21,572.00,573.00
2021-05-24,570.00,568.00
2021-05-25,576.00,583.00
2021-05-26,587.00,585.00
2021-05-27,580.00,582.00
2021-05-28,587.00,590.00
2021-05-31,595.00,597.00
2021-06-01,598.00,598.00
2021-06-02,600.00,595.00
2021-06-03,600.00,596.00
2021-06-04,591.00,595.00
2021-06-07,594.00,592.00
2021-06-08,590.00,589.00
2021-06-09,586.00,586.00
2021-06-10,591.00,599.00
2021-06-11,602.00,602.00
2021-06-15,607.00,609.00
2021-06-16,608.00,605.00
2021-06-17,601.00,606.00
2021-06-18,608.00,603.00
2021-06-21,590.00,583.00
2021-06-22,585.00,578.00
2021-06-23,583.00,595.00
2021-06-24,598.00,590.00
2021-06-28,590.00,590.00
2021-06-29,598.00,595.00
2021-06-30,599.00,595.00
2021-07-01,596.00,593.00
2021-07-02,590.00,588.00
2021-07-05,588.00,591.00
2021-07-06,595.00,592.00
2021-07-07,590.00,594.00
2021-07-08,595.00,588.00
2021-07-09,582.00,584.00
2021-07-12,595.00,593.00
2021-07-13,600.00,607.00
2021-07-14,613.00,613.00
2021-07-15,613.00,614.00
2021-07-16,591.00,589.00
2021-07-19,583.00,582.00
2021-07-20,579.00,581.00
2021-07-21,586.00,585.00
2021-07-22,589.00,591.00
2021-07-23,592.00,585.00
2021-07-26,591.00,580.00
2021-07-27,581.00,580.00
2021-07-28,576.00,579.00
2021-07-29,585.00,583.00
2021-07-30,581.00,580.00
2021-08-02,583.00,590.00
2021-08-03,594.00,594.00
2021-08-04,598.00,596.00
2021-08-05,598.00,596.00
2021-08-06,596.00,591.00
2021-08-09,590.00,595.00
2021-08-10,596.00,591.00
2021-08-11,590.00,590.00
2021-08-12,586.00,586.00
2021-08-13,585.00,581.00
2021-08-16,582.00,584.00
2021-08-17,580.00,580.00
2021-08-18,568.00,574.00
2021-08-19,573.00,559.00
2021-08-20,560.00,552.00
2021-08-23,560.00,566.00
2021-08-24,574.00,572.00
2021-08-25,579.00,585.00
2021-08-26,601.00,594.00
2021-08-27,596.00,599.00
2021-08-30,602.00,605.00
2021-08-31,604.00,614.00
2021-09-01,614.00,613.00
2021-09-02,613.00,607.00
2021-09-03,610.00,620.00
2021-09-06,623.00,631.00
2021-09-07,634.00,623.00
2021-09-08,622.00,619.00
2021-09-09,612.00,619.00
2021-09-10,615.00,622.00
2021-09-13,619.00,615.00
2021-09-14,618.00,613.00
2021-09-15,610.00,607.00
2021-09-16,603.00,600.00
2021-09-17,600.00,600.00
2021-09-22,586.00,586.00
2021-09-23,588.00,588.00
2021-09-24,591.00,598.00
2021-09-27,600.00,602.00
2021-09-28,595.00,594.00
2021-09-29,580.00,580.00
2021-09-30,580.00,580.00
2021-10-01,579.00,574.00
2021-10-04,574.00,572.00
2021-10-05,562.00,572.00
2021-10-06,573.00,571.00
2021-10-07,575.00,580.00
2021-10-08,582.00,575.00
2021-10-12,570.00,575.00
2021-10-13,572.00,571.00
2021-10-14,579.00,573.00
2021-10-15,592.00,600.00
2021-10-18,604.00,590.00
2021-10-19,598.00,600.00
2021-10-20,603.00,598.00
2021-10-21,602.00,596.00
2021-10-22,600.00,600.00
2021-10-25,597.00,593.00
2021-10-26,595.00,599.00
2021-10-27,598.00,599.00
2021-10-28,598.00,595.00
2021-10-29,595.00,590.00
2021-11-01,591.00,590.00
2021-11-02,594.00,592.00
2021-11-03,597.00,592.00
2021-11-04,592.00,587.00
2021-11-05,598.00,600.00
2021-11-08,600.00,602.00
2021-11-09,611.00,611.00
2021-11-10,611.00,612.00
2021-11-11,600.00,606.00
2021-11-12,610.00,604.00
2021-11-15,609.00,608.00
2021-11-16,612.00,610.00
2021-11-17,615.00,610.00
2021-11-18,613.00,613.00
